name,desc,price,img
Hyundai Sonata,"2017 г., 2 л., автомат, седан, газ, руль слева, 200 000 км",$ 14 800,https://im.mashina.kg/tachka/images//9/1/d/91db4ae419084e2d98f8b7763ba1ecfd_240x180.jpg
Kia Carnival,"2022 г., 3.5 л., автомат, минивэн, бензин, руль слева, 8 000 км",$ 55 500,https://im.mashina.kg/tachka/images//a/0/d/a0d4f2c0457b68895d48679242091c48_240x180.jpg
Kia K5 II Седан,"2019 г., 2 л., автомат, седан, газ, руль слева, 124 000 км",$ 16 200,https://im.mashina.kg/tachka/images//4/5/d/45d3b4212bc71a0e0d2b2c22fcdd948b_240x180.jpg
Lexus RX,"2017 г., 3.5 л., вариатор, внедорожник 5 дв., гибрид, руль слева, 78 874 км",$ 56 000,https://im.mashina.kg/tachka/images//3/2/c/32c5ecf2edc94fce381aebf66089abe1_240x180.jpg
BMW X5,"2017 г., 3 л., автомат, внедорожник 5 дв., бензин, руль слева, 92 000 км",$ 35 700,https://im.mashina.kg/tachka/images//3/8/3/3834a683a29c0be0eebe0dc926b47f70_240x180.jpg
BMW 7 серии,"2005 г., 4.8 л., автомат, седан, бензин, руль слева, 290 000 км",$ 13 200,https://im.mashina.kg/tachka/images//e/9/c/e9ce9b6be2f9a06142410bb1130fdfb7_240x180.jpg
Toyota Camry,"2014 г., 2.5 л., автомат, седан, бензин, руль слева, 110 000 км",$ 15 900,https://im.mashina.kg/tachka/images//6/3/4/634755698cd681d88f7aa1313486ccde_240x180.jpg
Nissan Juke,"2017 г., 1.6 л., механика, внедорожник 5 дв., бензин, руль слева, 150 000 км",$ 11 500,https://im.mashina.kg/tachka/images//0/e/5/0e599512b87acba8063002b2c9625906_240x180.jpg
Toyota Camry,"2020 г., 2.5 л., вариатор, седан, гибрид, руль слева, 55 000 км",$ 25 500,https://im.mashina.kg/tachka/images//5/1/0/5104ed76d3b37c00ece8d5a29e802b8e_240x180.jpg
Mercedes-Benz E-класс,"2001 г., 3.2 л., автомат, седан, бензин, руль слева, 149 000 км",$ 19 700,https://im.mashina.kg/tachka/images//e/2/d/e2d8774292ce374038c8f93b09dc7cfc_240x180.jpg
Subaru Forester,"2019 г., 2.5 л., вариатор, внедорожник 5 дв., бензин, руль слева, 60 000 км",$ 24 000,https://im.mashina.kg/tachka/images//f/e/3/fe3e4a406cf14f6df077759bcb86c6a3_240x180.jpg
Kia Carnival,"2016 г., 2.2 л., автомат, минивэн, дизель, руль слева, 212 000 км",$ 21 000,https://im.mashina.kg/tachka/images//f/2/4/f24c5d085a5f9f906c761583d95097ea_240x180.jpg
Toyota Camry,"2010 г., 2.5 л., автомат, седан, бензин, руль слева, 159 000 км",$ 11 500,https://im.mashina.kg/tachka/images//3/3/2/3323521ab62252fb12e8a641b9248d8d_240x180.jpg
Lexus GX,"2004 г., 4.7 л., автомат, внедорожник 5 дв., бензин, руль слева, 258 000 км",$ 21 800,https://im.mashina.kg/tachka/images//e/2/4/e246e43fd8c668b4d5df8895e8eb0196_240x180.jpg
